cell_id,universe,arm,model,seed,fold,status,start_ts,end_ts,wall_time_sec,err
2589,C5,L1,MLP,2026,6,completed,1789114482.5,1789114530.4,48.0,
2470,C5,L0,LightGBM,86,7,completed,1789114530.7,1789114531.3,0.6,
2471,C5,L0,LightGBM,123,7,completed,1789114531.3,1789114531.9,0.6,
2472,C5,L0,LightGBM,456,7,completed,1789114531.9,1789114532.5,0.6,
2473,C5,L0,LightGBM,789,7,completed,1789114532.5,1789114533.2,0.6,
2474,C5,L0,LightGBM,1024,7,completed,1789114533.2,1789114533.8,0.6,
2475,C5,L0,LightGBM,2024,7,completed,1789114533.8,1789114534.4,0.6,
2476,C5,L0,LightGBM,7,7,completed,1789114534.4,1789114535.0,0.6,
2477,C5,L0,LightGBM,34,7,completed,1789114535.1,1789114535.7,0.6,
2478,C5,L0,LightGBM,99,7,completed,1789114535.7,1789114536.3,0.6,
2479,C5,L0,LightGBM,2026,7,completed,1789114536.3,1789114536.9,0.6,
2590,C5,L1,MLP,86,7,completed,1789114536.9,1789114581.6,44.7,
2591,C5,L1,MLP,123,7,completed,1789114581.6,1789114634.1,52.4,
2592,C5,L1,MLP,456,7,completed,1789114634.1,1789114678.7,44.5,
2593,C5,L1,MLP,789,7,completed,1789114678.7,1789114738.8,60.1,
2594,C5,L1,MLP,1024,7,completed,1789114738.9,1789114780.7,41.9,
2595,C5,L1,MLP,2024,7,completed,1789114780.8,1789114825.5,44.7,
2596,C5,L1,MLP,7,7,completed,1789114825.5,1789114867.6,42.0,
2597,C5,L1,MLP,34,7,completed,1789114867.6,1789114909.6,42.0,
2598,C5,L1,MLP,99,7,completed,1789114909.7,1789114951.7,42.0,
2599,C5,L1,MLP,2026,7,completed,1789114951.7,1789114996.5,44.8,
2480,C5,L0,LightGBM,86,8,completed,1789114996.7,1789114997.3,0.6,
2481,C5,L0,LightGBM,123,8,completed,1789114997.4,1789114998.0,0.6,
2482,C5,L0,LightGBM,456,8,completed,1789114998.1,1789114998.9,0.9,
2483,C5,L0,LightGBM,789,8,completed,1789114999.0,1789114999.6,0.7,
2484,C5,L0,LightGBM,1024,8,completed,1789114999.7,1789115000.3,0.7,
2485,C5,L0,LightGBM,2024,8,completed,1789115000.4,1789115001.0,0.6,
2486,C5,L0,LightGBM,7,8,completed,1789115001.1,1789115001.7,0.6,
2487,C5,L0,LightGBM,34,8,completed,1789115001.8,1789115002.4,0.6,
2488,C5,L0,LightGBM,99,8,completed,1789115002.4,1789115003.1,0.7,
2489,C5,L0,LightGBM,2026,8,completed,1789115003.2,1789115003.8,0.6,
